Unnamed: 0,TIPOLOGIA,TIPO DE VIA,CICLO/MIXTA,LONGITUD
0,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1102.49849
1,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1105.274193
2,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1044.939833
3,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,567.6117199
4,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,2735.758322
5,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,2723.773578
6,VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,154.2348052
7,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,950.6573429
8,VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,254.3958934
9,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,522.331441
10,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,874.9550748
11,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1358.769335
12,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,316.2188703
13,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,333.0341672
14,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1921.923142
15,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1930.937797
16,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,SENDA CICLABLE,79.8491289
17,VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,154.2348052
18,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,635.51861
19,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,SENDA CICLABLE,4248.099465
20,VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,1262.429534
21,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,102.1845122
22,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,95.25633296
23,VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,51.9571587
24,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,4388.966005
25,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,311.3499271
26,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1911.725038
27,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1914.701756
28,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,156.2842167
29,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,126.5694739
30,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,64.38702044
31,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,411.2465713
32,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,445.4272611
33,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,467.8201411
34,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,384.7961866
35,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,442.8330176
36,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,253.3349058
37,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,84.27179632
38,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,49.12233096
39,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,158.6714035
40,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,529.1387556
41,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,282.6903699
42,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,355.0321298
43,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,441.2784739
44,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,504.0470179
45,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1328.079831
46,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,765.4329698
47,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,405.8290416
48,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,403.6359953
49,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,792.8642704
50,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1364.461583
51,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,642.1427058
52,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1465.220593
61,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1358.60853
70,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,2185.774124
79,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,2169.110148
88,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,3030.100526
97,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1779.77983
106,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1780.566135
115,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1338.993051
124,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1358.338782
133,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1602.258517
142,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,594.1118328
151,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1184.274527
160,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1408.004099
169,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1637.208778
178,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1255.731111
187,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,627.8565951
196,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,636.0603727
205,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,888.2203267
214,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,882.4839367
223,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1042.148018
232,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1035.389711
241,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,213.4670161
250,VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,93.93042939
