,start_station,end_station,size,Unnamed: 0,index,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,mes
0,212,212,239,1969,1969,40.3981605,-3.7165313,-3.7165313,40.3981605,1088,2020-11-01T11:00:00Z,2020/10/01
1,212,212,239,9228,9228,40.3981605,-3.7165313,-3.7165313,40.3981605,1009,2020-11-07T21:00:00Z,2020/10/01
2,212,212,239,10339,10339,40.3981605,-3.7165313,-3.7165313,40.3981605,1702,2020-11-20T16:00:00Z,2020/10/01
3,212,212,239,10771,10771,40.3981605,-3.7165313,-3.7165313,40.3981605,7,2020-11-25T17:00:00Z,2020/10/01
4,212,212,239,10909,10909,40.3981605,-3.7165313,-3.7165313,40.3981605,1875,2020-11-28T14:00:00Z,2020/10/01
5,212,212,239,11467,11467,40.3981605,-3.7165313,-3.7165313,40.3981605,3108,2020-11-06T23:00:00Z,2020/10/01
6,212,212,239,12903,12903,40.3981605,-3.7165313,-3.7165313,40.3981605,14,2020-11-24T11:00:00Z,2020/10/01
7,212,212,239,13561,13561,40.3981605,-3.7165313,-3.7165313,40.3981605,848,2020-11-03T22:00:00Z,2020/10/01
8,212,212,239,15431,15431,40.3981605,-3.7165313,-3.7165313,40.3981605,513,2020-11-26T18:00:00Z,2020/10/01
9,212,212,239,16937,16937,40.3981605,-3.7165313,-3.7165313,40.3981605,1866,2020-11-17T15:00:00Z,2020/10/01
10,212,212,239,17800,17800,40.3981605,-3.7165313,-3.7165313,40.3981605,3062,2020-11-26T21:00:00Z,2020/10/01
11,212,212,239,22356,22356,40.3981605,-3.7165313,-3.7165313,40.3981605,9,2020-11-25T16:00:00Z,2020/10/01
12,212,212,239,22570,22570,40.3981605,-3.7165313,-3.7165313,40.3981605,2942,2020-11-29T11:00:00Z,2020/10/01
13,212,212,239,22924,22924,40.3981605,-3.7165313,-3.7165313,40.3981605,36,2020-11-03T22:00:00Z,2020/10/01
14,212,212,239,23823,23823,40.3981605,-3.7165313,-3.7165313,40.3981605,799,2020-11-15T19:00:00Z,2020/10/01
15,212,212,239,24128,24128,40.3981605,-3.7165313,-3.7165313,40.3981605,985,2020-11-18T21:00:00Z,2020/10/01
16,212,212,239,27663,27663,40.3981605,-3.7165313,-3.7165313,40.3981605,376,2020-11-05T12:00:00Z,2020/10/01
17,212,212,239,29205,29205,40.3981605,-3.7165313,-3.7165313,40.3981605,1747,2020-11-24T16:00:00Z,2020/10/01
18,212,212,239,30097,30097,40.3981605,-3.7165313,-3.7165313,40.3981605,799,2020-11-07T22:00:00Z,2020/10/01
19,212,212,239,31056,31056,40.3981605,-3.7165313,-3.7165313,40.3981605,999,2020-11-18T19:00:00Z,2020/10/01
20,212,212,239,31064,31064,40.3981605,-3.7165313,-3.7165313,40.3981605,1285,2020-11-18T23:00:00Z,2020/10/01
21,212,212,239,33080,33080,40.3981605,-3.7165313,-3.7165313,40.3981605,1234,2020-11-15T13:00:00Z,2020/10/01
22,212,212,239,34603,34603,40.3981605,-3.7165313,-3.7165313,40.3981605,934,2020-11-05T19:00:00Z,2020/10/01
23,212,212,239,36737,36737,40.3981605,-3.7165313,-3.7165313,40.3981605,1027,2020-11-03T21:00:00Z,2020/10/01
24,212,212,239,36738,36738,40.3981605,-3.7165313,-3.7165313,40.3981605,967,2020-11-03T22:00:00Z,2020/10/01
25,212,212,239,39171,39171,40.3981605,-3.7165313,-3.7165313,40.3981605,814,2020-11-06T15:00:00Z,2020/10/01
26,212,212,239,40498,40498,40.3981605,-3.7165313,-3.7165313,40.3981605,1248,2020-11-21T22:00:00Z,2020/10/01
27,212,212,239,41016,41016,40.3981605,-3.7165313,-3.7165313,40.3981605,3991,2020-11-29T19:00:00Z,2020/10/01
28,212,212,239,42469,42469,40.3981605,-3.7165313,-3.7165313,40.3981605,1663,2020-11-18T19:00:00Z,2020/10/01
