,index,start_station,start_station_Latitud,start_station_Longitud,end_station,end_station_Longitud,end_station_Latitud,travel_time,hour_time
0,0,106,40.4248642,-3.6878868,106,-3.6878604,40.4250085,9,2020-04-19T06:00:00Z
1,1,106,40.4248642,-3.6878868,106,-3.6878604,40.4250085,15,2020-04-19T06:00:00Z
2,2,106,40.4248642,-3.6878868,106,-3.6878604,40.4250085,11,2020-04-19T06:00:00Z
3,3,106,40.4248642,-3.6878868,123,-3.7134685,40.4306386,296540,2020-04-19T06:00:00Z
4,4,90,40.4250878,-3.6837297,90,-3.6835613,40.4250791,16,2020-04-19T09:00:00Z
5,5,90,40.4250878,-3.6837297,90,-3.6835613,40.4250791,7,2020-04-19T09:00:00Z
6,6,74,40.4117601,-3.6765768,74,-3.6765768,40.4117601,13,2020-04-19T09:00:00Z
7,7,91,40.4261113,-3.6788203,91,-3.6788203,40.4261113,20,2020-04-19T11:00:00Z
8,8,132,40.4463889,-3.7035911,132,-3.7035911,40.4463889,8,2020-04-19T11:00:00Z
9,9,101,40.4231223,-3.6694246,101,-3.6694246,40.4231223,22,2020-04-20T06:00:00Z
10,10,101,40.4231223,-3.6694246,101,-3.6694246,40.4231223,15,2020-04-20T06:00:00Z
11,11,101,40.4231223,-3.6694246,101,-3.6694246,40.4231223,22,2020-04-20T06:00:00Z
12,12,101,40.4231223,-3.6694246,101,-3.6694246,40.4231223,6,2020-04-20T06:00:00Z
13,13,174,40.397417,-3.7063771,174,-3.7063771,40.397417,11,2020-04-20T08:00:00Z
14,14,174,40.397417,-3.7063771,174,-3.7063771,40.397417,2,2020-04-20T08:00:00Z
15,15,175,40.3962687,-3.6983033,175,-3.6983033,40.3962687,13,2020-04-20T09:00:00Z
16,16,88,40.4312077,-3.6837471,88,-3.6837471,40.4312077,6,2020-04-20T09:00:00Z
17,17,88,40.4312077,-3.6837471,88,-3.6837471,40.4312077,6,2020-04-20T09:00:00Z
18,18,88,40.4312077,-3.6837471,88,-3.6837471,40.4312077,8,2020-04-20T09:00:00Z
19,19,88,40.4312077,-3.6837471,88,-3.6837471,40.4312077,9,2020-04-20T09:00:00Z
20,20,88,40.4312077,-3.6837471,88,-3.6837471,40.4312077,7,2020-04-20T09:00:00Z
