,start_station,end_station,size,Unnamed: 0,start_station_Latitud,start_station_Longitud,end_station_Longitud,end_station_Latitud,travel_time,hour_time,index,mes
0,149,149,154,1409,40.4498448,-3.6878512,-3.6878512,40.4498448,698,2021-01-01T14:00:00Z,1409,2021/3/01
1,149,149,154,2551,40.4498448,-3.6878512,-3.6878512,40.4498448,2895,2021-01-01T20:00:00Z,2551,2021/3/01
2,149,149,154,2640,40.4498448,-3.6878512,-3.6878512,40.4498448,765,2021-01-01T21:00:00Z,2640,2021/3/01
3,149,149,154,2778,40.4498448,-3.6878512,-3.6878512,40.4498448,658,2021-01-01T22:00:00Z,2778,2021/3/01
4,149,149,154,2831,40.4498448,-3.6878512,-3.6878512,40.4498448,899,2021-01-01T22:00:00Z,2831,2021/3/01
5,149,149,154,3226,40.4498448,-3.6878512,-3.6878512,40.4498448,1070,2021-01-02T08:00:00Z,3226,2021/3/01
6,149,149,154,3930,40.4498448,-3.6878512,-3.6878512,40.4498448,4739,2021-01-02T10:00:00Z,3930,2021/3/01
7,149,149,154,5890,40.4498448,-3.6878512,-3.6878512,40.4498448,3916,2021-01-30T16:00:00Z,5890,2021/3/01
8,149,149,154,6030,40.4498448,-3.6878512,-3.6878512,40.4498448,8513,2021-01-02T15:00:00Z,6030,2021/3/01
9,149,149,154,6083,40.4498448,-3.6878512,-3.6878512,40.4498448,8585,2021-01-03T10:00:00Z,6083,2021/3/01
10,149,149,154,6171,40.4498448,-3.6878512,-3.6878512,40.4498448,12607,2021-01-04T10:00:00Z,6171,2021/3/01
11,149,149,154,6934,40.4498448,-3.6878512,-3.6878512,40.4498448,577,2021-01-23T18:00:00Z,6934,2021/3/01
12,149,149,154,8101,40.4498448,-3.6878512,-3.6878512,40.4498448,2097,2021-01-05T21:00:00Z,8101,2021/3/01
13,149,149,154,8329,40.4498448,-3.6878512,-3.6878512,40.4498448,9,2021-01-15T15:00:00Z,8329,2021/3/01
14,149,149,154,8487,40.4498448,-3.6878512,-3.6878512,40.4498448,10,2021-01-19T10:00:00Z,8487,2021/3/01
15,149,149,154,8773,40.4498448,-3.6878512,-3.6878512,40.4498448,7,2021-01-23T23:00:00Z,8773,2021/3/01
16,149,149,154,9467,40.4498448,-3.6878512,-3.6878512,40.4498448,1361,2021-01-30T12:00:00Z,9467,2021/3/01
17,149,149,154,10312,40.4498448,-3.6878512,-3.6878512,40.4498448,8,2021-01-19T11:00:00Z,10312,2021/3/01
18,149,149,154,12117,40.4498448,-3.6878512,-3.6878512,40.4498448,19,2021-01-19T10:00:00Z,12117,2021/3/01
19,149,149,154,12361,40.4498448,-3.6878512,-3.6878512,40.4498448,2167,2021-01-23T12:00:00Z,12361,2021/3/01
20,149,149,154,12380,40.4498448,-3.6878512,-3.6878512,40.4498448,1597,2021-01-23T14:00:00Z,12380,2021/3/01
21,149,149,154,13385,40.4498448,-3.6878512,-3.6878512,40.4498448,2037,2021-01-04T10:00:00Z,13385,2021/3/01
22,149,149,154,13888,40.4498448,-3.6878512,-3.6878512,40.4498448,1780,2021-01-18T11:00:00Z,13888,2021/3/01
23,149,149,154,13927,40.4498448,-3.6878512,-3.6878512,40.4498448,3720,2021-01-19T06:00:00Z,13927,2021/3/01
24,149,149,154,13941,40.4498448,-3.6878512,-3.6878512,40.4498448,11,2021-01-19T10:00:00Z,13941,2021/3/01
25,149,149,154,15635,40.4498448,-3.6878512,-3.6878512,40.4498448,759,2021-01-16T20:00:00Z,15635,2021/3/01
26,149,149,154,18074,40.4498448,-3.6878512,-3.6878512,40.4498448,2151,2021-01-25T20:00:00Z,18074,2021/3/01
27,149,149,154,19658,40.4498448,-3.6878512,-3.6878512,40.4498448,595,2021-01-22T22:00:00Z,19658,2021/3/01
28,149,149,154,23034,40.4498448,-3.6878512,-3.6878512,40.4498448,45,2021-01-19T11:00:00Z,23034,2021/3/01
29,149,149,154,23406,40.4498448,-3.6878512,-3.6878512,40.4498448,1175,2021-01-25T12:00:00Z,23406,2021/3/01
30,149,149,154,24122,40.4498448,-3.6878512,-3.6878512,40.4498448,991,2021-01-31T21:00:00Z,24122,2021/3/01
31,149,149,154,24866,40.4498448,-3.6878512,-3.6878512,40.4498448,576,2021-01-19T21:00:00Z,24866,2021/3/01
32,149,149,154,26330,40.4498448,-3.6878512,-3.6878512,40.4498448,11779,2021-01-06T11:00:00Z,26330,2021/3/01
33,149,149,154,26346,40.4498448,-3.6878512,-3.6878512,40.4498448,913,2021-01-06T14:00:00Z,26346,2021/3/01
34,149,149,154,29110,40.4498448,-3.6878512,-3.6878512,40.4498448,36,2021-01-27T15:00:00Z,29110,2021/3/01
35,149,149,154,29932,40.4498448,-3.6878512,-3.6878512,40.4498448,3765,2021-01-05T20:00:00Z,29932,2021/3/01
36,149,149,154,29955,40.4498448,-3.6878512,-3.6878512,40.4498448,1601,2021-01-06T12:00:00Z,29955,2021/3/01
37,149,149,154,30057,40.4498448,-3.6878512,-3.6878512,40.4498448,1387,2021-01-07T20:00:00Z,30057,2021/3/01
38,149,149,154,32049,40.4498448,-3.6878512,-3.6878512,40.4498448,1266,2021-01-16T21:00:00Z,32049,2021/3/01
39,149,149,154,32924,40.4498448,-3.6878512,-3.6878512,40.4498448,1836,2021-01-28T11:00:00Z,32924,2021/3/01
40,149,149,154,33314,40.4498448,-3.6878512,-3.6878512,40.4498448,3500,2021-01-02T13:00:00Z,33314,2021/3/01
41,149,149,154,33995,40.4498448,-3.6878512,-3.6878512,40.4498448,6598,2021-01-19T12:00:00Z,33995,2021/3/01
42,149,149,154,34839,40.4498448,-3.6878512,-3.6878512,40.4498448,1826,2021-01-29T12:00:00Z,34839,2021/3/01
43,149,149,154,36703,40.4498448,-3.6878512,-3.6878512,40.4498448,1293,2021-01-29T20:00:00Z,36703,2021/3/01
44,149,149,154,37401,40.4498448,-3.6878512,-3.6878512,40.4498448,12,2021-01-15T15:00:00Z,37401,2021/3/01
45,149,149,154,37513,40.4498448,-3.6878512,-3.6878512,40.4498448,13567,2021-01-18T21:00:00Z,37513,2021/3/01
46,149,149,154,39801,40.4498448,-3.6878512,-3.6878512,40.4498448,803,2021-01-25T15:00:00Z,39801,2021/3/01
47,149,149,154,39873,40.4498448,-3.6878512,-3.6878512,40.4498448,19482,2021-01-26T08:00:00Z,39873,2021/3/01
48,149,149,154,41478,40.4498448,-3.6878512,-3.6878512,40.4498448,1612,2021-01-23T13:00:00Z,41478,2021/3/01
49,149,149,154,43273,40.4498448,-3.6878512,-3.6878512,40.4498448,2007,2021-01-22T16:00:00Z,43273,2021/3/01
50,149,149,154,43980,40.4498448,-3.6878512,-3.6878512,40.4498448,1311,2021-01-29T19:00:00Z,43980,2021/3/01
51,149,149,154,44352,40.4498448,-3.6878512,-3.6878512,40.4498448,2728,2021-01-03T22:00:00Z,44352,2021/3/01
52,149,149,154,45139,40.4498448,-3.6878512,-3.6878512,40.4498448,549,2021-01-22T17:00:00Z,45139,2021/3/01
53,149,149,154,46188,40.4498448,-3.6878512,-3.6878512,40.4498448,702,2021-01-03T21:00:00Z,46188,2021/3/01
54,149,149,154,46762,40.4498448,-3.6878512,-3.6878512,40.4498448,2736,2021-01-18T20:00:00Z,46762,2021/3/01
55,149,149,154,47278,40.4498448,-3.6878512,-3.6878512,40.4498448,520,2021-01-26T13:00:00Z,47278,2021/3/01
56,149,149,154,47742,40.4498448,-3.6878512,-3.6878512,40.4498448,5192,2021-01-30T12:00:00Z,47742,2021/3/01
57,149,149,154,48851,40.4498448,-3.6878512,-3.6878512,40.4498448,1086,2021-01-23T13:00:00Z,48851,2021/3/01
58,149,149,154,49327,40.4498448,-3.6878512,-3.6878512,40.4498448,16657,2021-01-28T11:00:00Z,49327,2021/3/01
59,149,149,154,50110,40.4498448,-3.6878512,-3.6878512,40.4498448,1720,2021-01-06T13:00:00Z,50110,2021/3/01
60,149,149,154,50475,40.4498448,-3.6878512,-3.6878512,40.4498448,10,2021-01-19T10:00:00Z,50475,2021/3/01
61,149,149,154,50477,40.4498448,-3.6878512,-3.6878512,40.4498448,13,2021-01-19T11:00:00Z,50477,2021/3/01
62,149,149,154,51693,40.4498448,-3.6878512,-3.6878512,40.4498448,2755,2021-01-03T19:00:00Z,51693,2021/3/01
63,149,149,154,54191,40.4498448,-3.6878512,-3.6878512,40.4498448,11943,2021-01-22T08:00:00Z,54191,2021/3/01
64,149,149,154,54404,40.4498448,-3.6878512,-3.6878512,40.4498448,857,2021-01-25T13:00:00Z,54404,2021/3/01
65,149,149,154,55213,40.4498448,-3.6878512,-3.6878512,40.4498448,3109,2021-01-02T19:00:00Z,55213,2021/3/01
66,149,149,154,55725,40.4498448,-3.6878512,-3.6878512,40.4498448,560,2021-01-16T16:00:00Z,55725,2021/3/01
67,149,149,154,56095,40.4498448,-3.6878512,-3.6878512,40.4498448,3438,2021-01-23T10:00:00Z,56095,2021/3/01
68,149,149,154,57210,40.4498448,-3.6878512,-3.6878512,40.4498448,16394,2021-01-05T07:00:00Z,57210,2021/3/01
69,149,149,154,57503,40.4498448,-3.6878512,-3.6878512,40.4498448,13,2021-01-15T15:00:00Z,57503,2021/3/01
70,149,149,154,57644,40.4498448,-3.6878512,-3.6878512,40.4498448,22,2021-01-19T10:00:00Z,57644,2021/3/01
71,149,149,154,57876,40.4498448,-3.6878512,-3.6878512,40.4498448,811,2021-01-23T10:00:00Z,57876,2021/3/01
72,149,149,154,59331,40.4498448,-3.6878512,-3.6878512,40.4498448,2715,2021-01-17T11:00:00Z,59331,2021/3/01
73,149,149,154,61501,40.4498448,-3.6878512,-3.6878512,40.4498448,5022,2021-01-22T18:00:00Z,61501,2021/3/01
74,149,149,154,61611,40.4498448,-3.6878512,-3.6878512,40.4498448,9682,2021-01-24T14:00:00Z,61611,2021/3/01
75,149,149,154,62976,40.4498448,-3.6878512,-3.6878512,40.4498448,7,2021-01-15T15:00:00Z,62976,2021/3/01
76,149,149,154,63358,40.4498448,-3.6878512,-3.6878512,40.4498448,17862,2021-01-23T14:00:00Z,63358,2021/3/01
77,149,149,154,64896,40.4498448,-3.6878512,-3.6878512,40.4498448,11,2021-01-19T11:00:00Z,64896,2021/3/01
78,149,149,154,65002,40.4498448,-3.6878512,-3.6878512,40.4498448,5,2021-01-21T14:00:00Z,65002,2021/3/01
79,149,149,154,65242,40.4498448,-3.6878512,-3.6878512,40.4498448,9344,2021-01-24T18:00:00Z,65242,2021/3/01
80,149,149,154,66463,40.4498448,-3.6878512,-3.6878512,40.4498448,934,2021-01-07T14:00:00Z,66463,2021/3/01
81,149,149,154,66653,40.4498448,-3.6878512,-3.6878512,40.4498448,3295,2021-01-17T19:00:00Z,66653,2021/3/01
82,149,149,154,67723,40.4498448,-3.6878512,-3.6878512,40.4498448,661,2021-01-30T14:00:00Z,67723,2021/3/01
83,149,149,154,67990,40.4498448,-3.6878512,-3.6878512,40.4498448,4746,2021-01-03T19:00:00Z,67990,2021/3/01
84,149,149,154,67997,40.4498448,-3.6878512,-3.6878512,40.4498448,1353,2021-01-03T20:00:00Z,67997,2021/3/01
85,149,149,154,68495,40.4498448,-3.6878512,-3.6878512,40.4498448,2777,2021-01-17T20:00:00Z,68495,2021/3/01
86,149,149,154,68537,40.4498448,-3.6878512,-3.6878512,40.4498448,16759,2021-01-18T17:00:00Z,68537,2021/3/01
87,149,149,154,68549,40.4498448,-3.6878512,-3.6878512,40.4498448,1001,2021-01-18T21:00:00Z,68549,2021/3/01
88,149,149,154,68571,40.4498448,-3.6878512,-3.6878512,40.4498448,15,2021-01-19T11:00:00Z,68571,2021/3/01
89,149,149,154,69158,40.4498448,-3.6878512,-3.6878512,40.4498448,7477,2021-01-27T10:00:00Z,69158,2021/3/01
90,149,149,154,70024,40.4498448,-3.6878512,-3.6878512,40.4498448,1049,2021-01-05T22:00:00Z,70024,2021/3/01
91,149,149,154,70243,40.4498448,-3.6878512,-3.6878512,40.4498448,8,2021-01-15T15:00:00Z,70243,2021/3/01
92,149,149,154,70917,40.4498448,-3.6878512,-3.6878512,40.4498448,7,2021-01-26T23:00:00Z,70917,2021/3/01
93,149,149,154,71940,40.4498448,-3.6878512,-3.6878512,40.4498448,10,2021-01-15T15:00:00Z,71940,2021/3/01
94,149,149,154,72103,40.4498448,-3.6878512,-3.6878512,40.4498448,7,2021-01-19T10:00:00Z,72103,2021/3/01
95,149,149,154,74136,40.4498448,-3.6878512,-3.6878512,40.4498448,1224,2021-01-22T21:00:00Z,74136,2021/3/01
96,149,149,154,75143,40.4498448,-3.6878512,-3.6878512,40.4498448,1167,2021-01-03T15:00:00Z,75143,2021/3/01
97,149,149,154,75767,40.4498448,-3.6878512,-3.6878512,40.4498448,16,2021-01-19T01:00:00Z,75767,2021/3/01
98,149,149,154,75791,40.4498448,-3.6878512,-3.6878512,40.4498448,15,2021-01-19T10:00:00Z,75791,2021/3/01
99,149,149,154,75792,40.4498448,-3.6878512,-3.6878512,40.4498448,10,2021-01-19T10:00:00Z,75792,2021/3/01
100,149,149,154,75793,40.4498448,-3.6878512,-3.6878512,40.4498448,17,2021-01-19T10:00:00Z,75793,2021/3/01
101,149,149,154,75794,40.4498448,-3.6878512,-3.6878512,40.4498448,9,2021-01-19T11:00:00Z,75794,2021/3/01
102,149,149,154,78696,40.4498448,-3.6878512,-3.6878512,40.4498448,1137,2021-01-30T20:00:00Z,78696,2021/3/01
103,149,149,154,79351,40.4498448,-3.6878512,-3.6878512,40.4498448,13,2021-01-15T15:00:00Z,79351,2021/3/01
104,149,149,154,79770,40.4498448,-3.6878512,-3.6878512,40.4498448,1245,2021-01-23T12:00:00Z,79770,2021/3/01
105,149,149,154,79778,40.4498448,-3.6878512,-3.6878512,40.4498448,1142,2021-01-23T16:00:00Z,79778,2021/3/01
106,149,149,154,80503,40.4498448,-3.6878512,-3.6878512,40.4498448,1660,2021-01-30T16:00:00Z,80503,2021/3/01
107,149,149,154,81114,40.4498448,-3.6878512,-3.6878512,40.4498448,1818,2021-01-08T13:00:00Z,81114,2021/3/01
108,149,149,154,81176,40.4498448,-3.6878512,-3.6878512,40.4498448,15,2021-01-15T15:00:00Z,81176,2021/3/01
109,149,149,154,82870,40.4498448,-3.6878512,-3.6878512,40.4498448,1323,2021-01-07T13:00:00Z,82870,2021/3/01
110,149,149,154,84905,40.4498448,-3.6878512,-3.6878512,40.4498448,2197,2021-01-17T13:00:00Z,84905,2021/3/01
