MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
458241;MU-38 - Soporte bicicletas;02;ARGANZUELA;024;LEGAZPI;OPERATIVO;;CALLE;ANTRACITA;32;20170760;MU-38
458246;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;021;IMPERIAL;OPERATIVO;;PASEO;IMPERIAL;20;11008145;MU-51
458248;MU-51 - Soporte de Bicicletas Universal;08;FUENCARRAL-EL PARDO;086;VALVERDE;OPERATIVO;;AVENIDA;LLANO CASTELLANO;15;20016134;MU-51
458391;MU-51 - Soporte de Bicicletas Universal;08;FUENCARRAL-EL PARDO;084;EL PILAR;OPERATIVO;;AVENIDA;MONFORTE DE LEMOS;38;11045935;
458431;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;054;HISPANOAMERICA;OPERATIVO;;AVENIDA;ALFONSO XIII;56;11024496;MU-51
458436;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;034;IBIZA;OPERATIVO;;AVENIDA;MENENDEZ PELAYO;61;11012375;MU-51
458442;MU-51 - Soporte de Bicicletas Universal;02;ARGANZUELA;027;ATOCHA;OPERATIVO;;CALLE;RETAMA;4;20111962;MU-51
458445;MU-51 - Soporte de Bicicletas Universal;03;RETIRO;034;IBIZA;OPERATIVO;;CALLE;DOCE DE OCTUBRE;1;11012364;MU-51
458595;MU-51 - Soporte de Bicicletas Universal;05;CHAMARTIN;051;EL VISO;OPERATIVO;;CALLE;PEDRO DE VALDIVIA;6;11020541;MU-38
88072;MU-51 - Soporte de Bicicletas Universal;15;CIUDAD LINEAL;152;PUEBLO NUEVO;OPERATIVO;;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;70;11107252;MU-51
