TIPOLOGIA,TIPO DE VIA,CICLO/MIXTA,LONGITUD
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1102.49849
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1105.274193
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1044.939833
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,567.6117199
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,2735.758322
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,2723.773578
VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,154.2348052
VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,950.6573429
VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,254.3958934
VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,522.331441
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,874.9550748
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1358.769335
VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,316.2188703
VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,CARRIL BICI,333.0341672
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1921.923142
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,1930.937797
VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,SENDA CICLABLE,79.8491289
VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,154.2348052
VIA USO COMPARTIDO,VIA USO COMPARTIDO,CICLOCARRIL,635.51861
VIA EXCLUSIVA BICI,VIA EXCLUSIVA BICI,SENDA CICLABLE,4248.099465
VIA PREFERENTE BICI,VIA PREFERENTE BICI,VIA MIXTA,1262.429534
